NM_MUNICIPIO,NR_ZONA,NR_SECAO,DS_CARGO,NM_VOTAVEL,QT_VOTOS
MAGE,148,50,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,110,37,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,435,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,227,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,110,495,DEPUTADO FEDERAL,MARCOS TAVARES,8
MAGE,110,46,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,285,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,110,465,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,32,DEPUTADO FEDERAL,JUNINHO DO PNEU,4
MAGE,148,188,DEPUTADO FEDERAL,JUNINHO DO PNEU,5
MAGE,148,209,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,148,185,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,110,456,DEPUTADO FEDERAL,JUNINHO DO PNEU,20
MAGE,110,428,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,110,330,DEPUTADO FEDERAL,JUNINHO DO PNEU,4
MAGE,110,447,DEPUTADO FEDERAL,JUNINHO DO PNEU,11
MAGE,148,167,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,463,DEPUTADO FEDERAL,JUNINHO DO PNEU,23
MAGE,110,488,DEPUTADO FEDERAL,JUNINHO DO PNEU,46
MAGE,148,271,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,493,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,33,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,404,DEPUTADO FEDERAL,JUNINHO DO PNEU,11
MAGE,148,93,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,90,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,543,DEPUTADO FEDERAL,JUNINHO DO PNEU,10
MAGE,110,241,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,197,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,261,DEPUTADO FEDERAL,JUNINHO DO PNEU,5
MAGE,110,125,DEPUTADO FEDERAL,JUNINHO DO PNEU,36
MAGE,110,540,DEPUTADO FEDERAL,JUNINHO DO PNEU,33
MAGE,148,150,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,110,500,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,88,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,265,DEPUTADO FEDERAL,JUNINHO DO PNEU,23
MAGE,148,278,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,542,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,100,DEPUTADO FEDERAL,JUNINHO DO PNEU,2
MAGE,110,283,DEPUTADO FEDERAL,JUNINHO DO PNEU,2
MAGE,148,59,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,414,DEPUTADO FEDERAL,JUNINHO DO PNEU,30
MAGE,148,285,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,148,89,DEPUTADO FEDERAL,JUNINHO DO PNEU,5
MAGE,110,408,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,110,16,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,12,DEPUTADO FEDERAL,JUNINHO DO PNEU,2
MAGE,110,117,DEPUTADO FEDERAL,JUNINHO DO PNEU,31
MAGE,110,407,DEPUTADO FEDERAL,JUNINHO DO PNEU,41
MAGE,110,268,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,68,DEPUTADO FEDERAL,JUNINHO DO PNEU,2
MAGE,110,551,DEPUTADO FEDERAL,JUNINHO DO PNEU,10
MAGE,110,422,DEPUTADO FEDERAL,JUNINHO DO PNEU,14
MAGE,148,104,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,110,112,DEPUTADO FEDERAL,JUNINHO DO PNEU,8
MAGE,148,58,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,110,122,DEPUTADO FEDERAL,JUNINHO DO PNEU,39
MAGE,110,520,DEPUTADO FEDERAL,JUNINHO DO PNEU,1
MAGE,148,196,DEPUTADO FEDERAL,JUNINHO DO PNEU,4
MAGE,110,250,DEPUTADO FEDERAL,JUNINHO DO PNEU,28
MAGE,110,238,DEPUTADO FEDERAL,JUNINHO DO PNEU,10
MAGE,110,434,DEPUTADO FEDERAL,JUNINHO DO PNEU,23
MAGE,148,91,DEPUTADO FEDERAL,JUNINHO DO PNEU,3
MAGE,110,274,DEPUTADO FEDERAL,MARCOS TAVARES,1
MAGE,110,419,DEPUTADO FEDERAL,MARCOS TAVARES,2
MAGE,148,31,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,148,83,DEPUTADO FEDERAL,MARCOS TAVARES,6
MAGE,148,53,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,175,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,239,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,110,109,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,110,331,DEPUTADO FEDERAL,MARCOS TAVARES,5
MAGE,110,12,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,182,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,257,DEPUTADO FEDERAL,MARCOS TAVARES,4
MAGE,148,87,DEPUTADO FEDERAL,MARCOS TAVARES,3
MAGE,148,245,DEPUTADO FEDERAL,MARCOS TAVARES,5
